Designator,Mid X,Mid Y,Layer,Rotation
BZ101,11.69,28.92,Top,270.0
BZ201,78.61,28.92,Top,270.0
C101, 1.24,45.32,Top,90.0
C102,20.26,10.72,Top,0.0
C103, 9.82, 5.11,Top,270.0
C104, 9.69,10.66,Top,180.0
C105,12.55,10.93,Top,90.0
C201,43.57, 3.18,Top,90.0
C202,53.80,10.97,Top,180.0
C203,43.84,17.51,Top,90.0
C204,44.22,10.87,Top,180.0
C205,46.65,10.89,Top,90.0
C206,37.99,22.24,Top,180.0
C207,69.13,45.35,Top,90.0
C208,87.48,10.74,Top,0.0
C209,76.96, 5.08,Top,270.0
C210,77.24,10.79,Top,180.0
C211,79.88,10.92,Top,90.0
D101,20.22,15.49,Top,90.0
D201,37.92, 6.02,Top,90.0
D202,87.40,15.44,Top,90.0
FID101, 3.15,48.91,Top,180.0
FID102,93.96, 1.50,Top,0.0
FID103, 3.05, 1.38,Top,0.0
FID104,98.94,48.83,Top,0.0
IC101,16.42,10.61,Top,180.0
IC201,49.94,10.85,Top,180.0
IC202,83.52,10.61,Top,180.0
J101, 4.95,16.89,Top,270.0
J102, 4.95, 8.51,Top,270.0
J103,25.91,21.59,Top,90.0
J104,25.91,14.22,Top,90.0
J105,25.91, 6.86,Top,90.0
J201,49.80,39.71,Top,180.0
J202,73.66,16.89,Top,270.0
J203,73.66, 8.51,Top,270.0
J204,93.09,21.59,Top,90.0
J205,93.09,14.22,Top,90.0
J206,93.09, 6.86,Top,90.0
JP102, 1.17,42.30,Top,270.0
JP103, 9.68,15.85,Top,270.0
JP105,30.20,44.53,Top,270.0
JP203,97.13,44.37,Top,270.0
JP204,78.36,15.88,Top,270.0
JP206,69.22,42.24,Top,270.0
LD101, 1.81,26.25,Top,270.0
LD201,36.99,25.95,Top,180.0
LD202,36.00,42.66,Top,180.0
LD203,68.71,26.29,Top,270.0
LD204,36.05,38.93,Top,180.0
LED101,22.09,27.18,Top,180.0
LED102,28.45,26.80,Top,180.0
LED201,62.10,15.37,Top,90.0
LED202,89.17,27.21,Top,180.0
LED203,95.38,26.80,Top,180.0
Q101, 9.35,22.85,Top,90.0
Q201,37.71, 9.62,Top,0.0
Q202,76.20,22.85,Top,90.0
R101, 9.22,34.34,Top,270.0
R102,10.03,19.69,Top,270.0
R103,13.67,19.69,Top,90.0
R104,19.12,19.69,Top,90.0
R105,18.85,31.64,Top,270.0
R106,23.14,34.34,Top,90.0
R107,18.85,34.34,Top,270.0
R108,13.73,34.35,Top,270.0
R109,23.07,31.55,Top,270.0
R110, 2.59,23.08,Top,270.0
R111, 2.38,29.57,Top,90.0
R201,54.09, 8.13,Top,90.0
R202,47.13, 8.03,Top,270.0
R203,37.73,18.27,Top,90.0
R204,37.66,12.02,Top,270.0
R205,45.25,24.58,Top,90.0
R206,49.69,30.57,Top,90.0
R207,76.20,34.54,Top,270.0
R208,77.72,19.69,Top,270.0
R209,86.44,19.69,Top,90.0
R210,81.46,19.69,Top,90.0
R211,54.98,21.69,Top,90.0
R212,85.67,31.47,Top,270.0
R213,90.04,34.42,Top,90.0
R214,85.67,34.42,Top,270.0
R215,80.59,34.54,Top,270.0
R216,90.04,31.50,Top,270.0
R217,69.65,22.79,Top,270.0
R218,44.07,44.86,Top,270.0
R219,69.72,30.86,Top,90.0
SJ101,33.53,36.97,Top,0.0
SJ102,33.50,31.88,Top,0.0
SJ103,33.48,44.55,Top,0.0
SJ104,33.48,40.79,Top,0.0
SJ105,33.50,29.34,Top,0.0
SJ106,33.53,34.42,Top,0.0
SJ107,33.50, 7.75,Top,0.0
SJ108,33.50,10.21,Top,0.0
SJ202,66.50,44.24,Top,180.0
SJ203,66.50,39.18,Top,180.0
SJ204,66.50,36.60,Top,180.0
SJ205,66.50,41.74,Top,180.0
SJ206,66.50, 7.49,Top,180.0
SJ207,66.50,10.03,Top,180.0
SJ208,66.50,32.86,Top,180.0
SJ209,66.50,29.05,Top,180.0
SW101,27.35, 1.60,Top,180.0
SW102, 3.10, 1.60,Top,0.0
SW201,35.50, 3.10,Top,90.0
SW202,62.41, 3.13,Top,90.0
SW203,60.05,28.70,Top,270.0
SW204,93.98, 1.60,Top,180.0
SW205,69.98, 1.60,Top,0.0
U101,16.50,45.60,Top,0.0
U102,16.50,42.93,Top,0.0
U201,37.70,15.14,Top,180.0
U203,83.44,42.93,Top,0.0
X101,16.38, 3.35,Top,0.0
X201,49.76, 3.35,Top,0.0
X202,83.44, 3.30,Top,0.0
